school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3
0.0,1.0,16,1.0,0.0,1.0,3,3,3.0,2.0,1.0,1.0,1,2,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,3,3,2,12,13,12
0.0,1.0,16,1.0,0.0,1.0,2,3,2.0,2.0,1.0,0.0,2,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,3,3,3,0,13,14,14
0.0,0.0,16,1.0,0.0,1.0,1,3,0.0,3.0,1.0,1.0,1,2,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,3,5,3,0,8,7,0
0.0,0.0,16,1.0,0.0,1.0,4,3,4.0,1.0,1.0,1.0,1,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,4,4,4,2,10,9,9
0.0,1.0,16,0.0,0.0,1.0,2,1,2.0,2.0,0.0,1.0,2,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,3,2,3,0,8,9,8
0.0,0.0,18,0.0,0.0,1.0,3,1,2.0,2.0,3.0,1.0,1,2,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,3,3,4,16,9,8,7
0.0,0.0,17,0.0,0.0,1.0,2,4,0.0,2.0,0.0,0.0,1,3,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4,4,3,5,7,12,14,14
1.0,1.0,19,0.0,0.0,1.0,1,1,2.0,3.0,2.0,1.0,2,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4,3,2,5,0,6,5,0
0.0,1.0,17,1.0,1.0,1.0,2,3,3.0,3.0,3.0,0.0,1,2,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5,3,3,3,2,12,11,12
0.0,1.0,18,1.0,1.0,1.0,3,4,3.0,2.0,1.0,1.0,1,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4,3,3,5,11,16,15,15
0.0,0.0,15,1.0,0.0,1.0,1,1,0.0,2.0,0.0,1.0,3,1,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4,3,3,4,0,8,0,0
0.0,0.0,17,1.0,0.0,0.0,4,3,3.0,3.0,0.0,1.0,1,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,2,2,5,23,13,13,13
0.0,1.0,17,1.0,1.0,1.0,4,3,4.0,2.0,0.0,1.0,2,2,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4,4,4,4,10,9,9
0.0,0.0,17,0.0,0.0,1.0,2,1,0.0,3.0,0.0,1.0,3,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1,1,3,2,13,11,11
1.0,0.0,18,1.0,0.0,1.0,2,3,0.0,3.0,0.0,0.0,2,1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,2,3,4,0,11,10,10
1.0,0.0,17,0.0,0.0,1.0,1,1,2.0,3.0,3.0,1.0,3,1,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,2,1,1,0,7,6,0
0.0,0.0,19,1.0,0.0,1.0,3,3,2.0,2.0,3.0,2.0,1,4,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,3,3,10,8,8,8
0.0,1.0,15,1.0,0.0,1.0,4,3,4.0,2.0,1.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,3,5,6,9,9,10
0.0,1.0,15,1.0,0.0,0.0,3,4,3.0,2.0,0.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5,4,4,1,0,16,18,18
1.0,0.0,18,0.0,1.0,1.0,4,4,2.0,2.0,3.0,1.0,2,3,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,4,4,1,0,19,18,19
0.0,0.0,16,1.0,0.0,1.0,4,4,3.0,3.0,3.0,1.0,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,2,3,2,6,13,14,14
0.0,1.0,15,1.0,0.0,0.0,4,4,2.0,3.0,3.0,1.0,1,4,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,3,3,3,4,13,13,12
0.0,1.0,17,1.0,1.0,1.0,4,4,3.0,2.0,1.0,1.0,1,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,3,5,3,13,12,12,13
0.0,0.0,17,1.0,0.0,0.0,4,4,2.0,4.0,1.0,1.0,2,2,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,1,4,1,6,6,5,6
0.0,1.0,16,1.0,1.0,1.0,4,3,1.0,2.0,1.0,0.0,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3,1,3,5,4,8,10,10
0.0,1.0,17,1.0,1.0,1.0,4,4,2.0,4.0,1.0,0.0,2,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4,1,1,5,0,11,11,10
1.0,1.0,19,0.0,0.0,1.0,1,1,2.0,3.0,1.0,2.0,3,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,4,4,2,8,8,7,8
1.0,1.0,18,0.0,0.0,1.0,1,3,0.0,2.0,0.0,1.0,2,2,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3,3,4,3,4,10,10,10
0.0,1.0,17,0.0,0.0,1.0,1,3,2.0,2.0,0.0,0.0,3,2,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5,2,4,5,20,9,7,8
0.0,0.0,17,1.0,0.0,1.0,2,2,2.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4,2,2,3,12,11,9,9
0.0,0.0,19,1.0,0.0,1.0,4,4,1.0,2.0,3.0,2.0,2,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,3,4,2,0,10,9,0
1.0,1.0,18,0.0,0.0,1.0,2,1,2.0,2.0,2.0,1.0,2,1,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,4,3,5,5,7,6,7
1.0,0.0,17,0.0,0.0,1.0,1,2,2.0,2.0,0.0,1.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,5,5,1,14,6,5,5
0.0,0.0,16,0.0,0.0,1.0,4,4,1.0,4.0,2.0,1.0,1,2,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2,4,4,4,6,10,11,11
0.0,0.0,16,1.0,0.0,1.0,3,4,0.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2,4,3,3,12,5,5,5
0.0,1.0,17,1.0,1.0,0.0,3,2,4.0,3.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4,4,4,3,19,11,9,10
0.0,1.0,16,1.0,0.0,1.0,2,1,2.0,2.0,0.0,1.0,3,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4,3,3,4,6,18,18,18
0.0,1.0,18,1.0,0.0,1.0,3,2,3.0,2.0,0.0,1.0,2,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,5,5,0,6,8,8
0.0,0.0,17,1.0,0.0,1.0,2,3,0.0,2.0,1.0,0.0,2,1,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3,3,3,3,3,7,7,8
0.0,0.0,16,1.0,1.0,1.0,4,4,1.0,1.0,2.0,1.0,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,5,4,4,14,15,16
0.0,0.0,16,1.0,0.0,1.0,3,3,2.0,2.0,3.0,1.0,3,2,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5,3,2,4,4,8,10,10
0.0,1.0,16,1.0,0.0,1.0,3,2,3.0,3.0,0.0,1.0,2,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,5,2,2,16,12,11,12
0.0,0.0,15,0.0,0.0,1.0,2,4,3.0,1.0,0.0,1.0,1,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,2,5,2,10,9,8
0.0,0.0,15,1.0,1.0,0.0,3,4,2.0,2.0,1.0,1.0,1,2,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,3,2,1,0,7,10,11
0.0,1.0,18,0.0,0.0,1.0,4,3,4.0,3.0,0.0,1.0,1,3,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5,3,2,4,9,16,15,16
0.0,0.0,16,1.0,0.0,1.0,2,2,3.0,2.0,3.0,1.0,2,2,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3,4,4,5,2,13,13,11
0.0,0.0,17,1.0,1.0,1.0,2,2,3.0,2.0,0.0,1.0,2,2,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,4,4,5,6,12,12,12
0.0,1.0,17,1.0,0.0,1.0,2,3,2.0,2.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,2,2,2,4,12,12,13
0.0,1.0,18,1.0,0.0,1.0,2,2,2.0,3.0,3.0,0.0,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,5,4,2,0,7,7,0
0.0,1.0,19,1.0,0.0,1.0,3,2,3.0,0.0,1.0,1.0,1,1,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4,5,4,4,0,5,0,0
0.0,1.0,18,1.0,0.0,1.0,4,3,4.0,2.0,0.0,1.0,1,2,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4,3,2,3,2,8,8,8
0.0,1.0,18,0.0,0.0,1.0,3,2,2.0,2.0,0.0,1.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5,3,2,3,1,13,12,12
0.0,1.0,17,1.0,1.0,1.0,4,4,4.0,2.0,3.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4,4,5,0,13,11,10
0.0,1.0,15,1.0,0.0,1.0,3,4,2.0,2.0,3.0,0.0,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,4,3,4,6,14,13,13
1.0,0.0,18,1.0,0.0,1.0,1,1,2.0,2.0,0.0,1.0,2,2,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,1,1,5,0,6,5,0
0.0,0.0,17,1.0,0.0,1.0,4,4,3.0,4.0,1.0,1.0,2,1,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4,2,4,2,24,18,18,18
0.0,0.0,15,1.0,0.0,1.0,4,4,4.0,4.0,0.0,1.0,2,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,3,2,5,0,16,16,15
0.0,1.0,16,1.0,0.0,1.0,4,4,4.0,4.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3,3,2,5,0,7,6,0
0.0,0.0,17,0.0,1.0,1.0,2,2,3.0,3.0,0.0,1.0,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,3,2,3,3,11,11,11
0.0,1.0,15,1.0,1.0,1.0,4,3,4.0,3.0,1.0,1.0,1,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5,4,3,4,2,15,16,18
0.0,0.0,17,1.0,0.0,1.0,1,1,3.0,4.0,3.0,1.0,1,3,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,3,3,3,6,13,12,12
0.0,0.0,15,0.0,0.0,1.0,3,3,3.0,3.0,3.0,2.0,2,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,1,3,8,10,10,10
